,order_id,uuid_x,customer_id,created_at,updated_at,location_id,location_table_id,notes,status,total,order_method,order_number,sub_total,expires_at,delivery_fee,is_reported,report_message,address_id,delivery_date,status_class,id,uuid_y,action_at,admin_id,comment,action_type,order_seconds
366,170,cl2phz67j09440ns6nfq2eokt,10.0,2022-05-03 01:54:19.567,2022-05-03 01:54:19.569,6.0,,,OPEN,0.0,DINE_IN,522796944.0,0.0,2022-05-05 01:54:19.563,0.0,False,,,,1.0,354,cl2phz67k09460ns6ahd98fvj,2022-05-03 01:54:19.568,,,OPEN,0.0
367,155,cl2o3ad3v00850ns6gwnp805h,10.0,2022-05-02 02:15:21.307,2022-05-02 17:54:07.500,6.0,,,PREPARING,10.5,DINE_IN,522329542.0,10.0,2022-05-04 02:15:21.302,0.0,False,,,,4.0,319,cl2o3ad3v00870ns6ml0gmbss,2022-05-02 02:15:21.307,,,OPEN,0.0
368,155,cl2o3ad3v00850ns6gwnp805h,10.0,2022-05-02 02:15:21.307,2022-05-02 17:54:07.500,6.0,,,PREPARING,10.5,DINE_IN,522329542.0,10.0,2022-05-04 02:15:21.302,0.0,False,,,,4.0,331,cl2p0hter14130ns6oguc73k5,2022-05-02 17:44:56.355,1.0,,PREPARING,0.0
369,155,cl2o3ad3v00850ns6gwnp805h,10.0,2022-05-02 02:15:21.307,2022-05-02 17:54:07.500,6.0,,,PREPARING,10.5,DINE_IN,522329542.0,10.0,2022-05-04 02:15:21.302,0.0,False,,,,4.0,332,cl2p0hvm414460ns66nu0u049,2022-05-02 17:44:59.212,1.0,,PENDING,0.0
370,155,cl2o3ad3v00850ns6gwnp805h,10.0,2022-05-02 02:15:21.307,2022-05-02 17:54:07.500,6.0,,,PREPARING,10.5,DINE_IN,522329542.0,10.0,2022-05-04 02:15:21.302,0.0,False,,,,4.0,333,cl2p0hxv314790ns6rj0w4tvi,2022-05-02 17:45:02.127,1.0,,PREPARING,0.0
371,155,cl2o3ad3v00850ns6gwnp805h,10.0,2022-05-02 02:15:21.307,2022-05-02 17:54:07.500,6.0,,,PREPARING,10.5,DINE_IN,522329542.0,10.0,2022-05-04 02:15:21.302,0.0,False,,,,4.0,334,cl2p0hzyk15120ns6z6buy7fr,2022-05-02 17:45:04.844,1.0,,PENDING,0.0
372,155,cl2o3ad3v00850ns6gwnp805h,10.0,2022-05-02 02:15:21.307,2022-05-02 17:54:07.500,6.0,,,PREPARING,10.5,DINE_IN,522329542.0,10.0,2022-05-04 02:15:21.302,0.0,False,,,,4.0,335,cl2p0i2hj15450ns6ajrcnlwu,2022-05-02 17:45:08.119,1.0,,PREPARING,0.0
373,155,cl2o3ad3v00850ns6gwnp805h,10.0,2022-05-02 02:15:21.307,2022-05-02 17:54:07.500,6.0,,,PREPARING,10.5,DINE_IN,522329542.0,10.0,2022-05-04 02:15:21.302,0.0,False,,,,4.0,336,cl2p0i87n15780ns6kiy6h8sm,2022-05-02 17:45:15.539,1.0,,PENDING,0.0
374,155,cl2o3ad3v00850ns6gwnp805h,10.0,2022-05-02 02:15:21.307,2022-05-02 17:54:07.500,6.0,,,PREPARING,10.5,DINE_IN,522329542.0,10.0,2022-05-04 02:15:21.302,0.0,False,,,,4.0,337,cl2p0tmob17760ns69avt9a61,2022-05-02 17:54:07.499,1.0,,PREPARING,0.0
375,155,cl2o3ad3v00850ns6gwnp805h,10.0,2022-05-02 02:15:21.307,2022-05-02 17:54:07.500,6.0,,,PREPARING,10.5,DINE_IN,522329542.0,10.0,2022-05-04 02:15:21.302,0.0,False,,,,4.0,342,cl2p46dio03220ns6ksmkcild,2022-05-02 19:28:01.008,1.0,Hello,COMMENT,0.0
376,174,cl2q5wzw904460ns6ffs2zk4i,10.0,2022-05-03 13:04:28.857,2022-05-03 13:04:45.098,6.0,,,PAYMENT_PENDING,10.5,DINE_IN,522655356.0,10.0,2022-05-05 13:04:28.856,0.0,False,,,,3.0,376,cl2q5wzwa04480ns6l4o04xhz,2022-05-03 13:04:28.858,,,OPEN,0.0
377,174,cl2q5wzw904460ns6ffs2zk4i,10.0,2022-05-03 13:04:28.857,2022-05-03 13:04:45.098,6.0,,,PAYMENT_PENDING,10.5,DINE_IN,522655356.0,10.0,2022-05-05 13:04:28.856,0.0,False,,,,3.0,377,cl2q5xcfd05220ns6mrsoacyo,2022-05-03 13:04:45.097,,,PAYMENT_PENDING,0.0
378,160,cl2p1td6h00290ns6yeyigw0o,10.0,2022-05-02 18:21:54.809,2022-05-02 18:22:01.309,6.0,,,PAYMENT_PENDING,10.5,DINE_IN,522159945.0,10.0,2022-05-04 18:21:54.806,0.0,False,,,,3.0,338,cl2p1td6h00310ns6cqk9v2qe,2022-05-02 18:21:54.809,,,OPEN,0.0
379,160,cl2p1td6h00290ns6yeyigw0o,10.0,2022-05-02 18:21:54.809,2022-05-02 18:22:01.309,6.0,,,PAYMENT_PENDING,10.5,DINE_IN,522159945.0,10.0,2022-05-04 18:21:54.806,0.0,False,,,,3.0,339,cl2p1ti7001060ns6nyhs5f4g,2022-05-02 18:22:01.308,,,PAYMENT_PENDING,0.0
380,180,cl2qa1oqt86490ns63syrz8o5,10.0,2022-05-03 15:00:06.149,2022-05-03 15:05:56.611,6.0,,,PAYMENT_PENDING,10.5,DINE_IN,522466409.0,10.0,2022-05-05 15:00:06.147,0.0,False,,,,3.0,388,cl2qa1oqt86510ns6m1l79gw1,2022-05-03 15:00:06.149,,,OPEN,0.0
